battle,timestamp,name,user,team,action,tileId,attacker,defender,ipUsed,bipUsed,ipApplied,directPlay
125,1757956437,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,0,2110,4326,false
125,1757956756,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,11153,0,22864,false
125,1757956759,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,0,1115,2286,false
125,1757956970,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,13320,0,25974,true
125,1757956986,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,13320,1332,28571,false
125,1757956987,Ogrodnik10,9a3fcf95bfbdf8c408cf297f3a104e56,ps,DEFEND,webified-25,cr,ci,0,1332,2597,false
125,1757957697,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,100000,170000,false
125,1757957698,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,100000,170000,false
125,1757957699,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,100000,170000,false
125,1757957699,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,100000,170000,false
125,1757957701,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,100000,167000,false
125,1757957702,sanchous,5fe999a790fe79dea060eb9366cc48d8,mt,DEFEND,webified-25,cr,ci,0,1000,1670,false
125,1757958042,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-25,cr,ci,17640,82360,152000,false
125,1757958043,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-25,cr,ci,0,100000,152000,false
125,1757958045,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-25,cr,ci,0,95404,145014,false
125,1757958829,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,singularity-105,null,ci,10400,0,12792,true
125,1757958930,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-25,cr,ci,10600,0,11342,true
125,1757959051,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-25,cr,ci,9800,0,9898,true
125,1757959128,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-25,cr,ci,10600,0,10388,true
125,1757959338,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-72,cr,ci,41400,21100,153125,false
125,1757959339,007,b86a32c60acef702f0fe61e3965c6d2e,dc,DEFEND,webified-72,cr,ci,0,4140,10143,false
125,1757959484,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,29160,70840,245000,false
125,1757959485,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,0,26048,63818,false
125,1757959699,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,9720,0,23814,true
125,1757959713,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,9720,972,26195,false
125,1757959715,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,0,972,2381,false
125,1757961070,Moose,4d86dd5068bd3c7849a95863f5b527dd,co,DEFEND,webified-72,cr,ci,0,15000,31350,false
125,1757961193,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,DEFEND,webified-72,cr,ci,10080,0,20462,true
125,1757961742,VELEScool,5e3e15881f0827107fe01cef675d5f89,dc,DEFEND,webified-72,cr,ci,100000,0,176000,false
125,1757961744,VELEScool,5e3e15881f0827107fe01cef675d5f89,dc,DEFEND,webified-72,cr,ci,41552,58448,176000,false
125,1757961746,VELEScool,5e3e15881f0827107fe01cef675d5f89,dc,DEFEND,webified-72,cr,ci,0,60707,106844,false
125,1757962948,NAIRO,1bdc7310e6b706d40ec83cce926678e4,fg,DEFEND,webified-72,cr,ci,0,100000,245000,false
125,1757962949,NAIRO,1bdc7310e6b706d40ec83cce926678e4,fg,DEFEND,webified-72,cr,ci,0,100000,245000,false
125,1757962950,NAIRO,1bdc7310e6b706d40ec83cce926678e4,fg,DEFEND,webified-72,cr,ci,0,25000,61250,false
125,1757963767,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,23500,0,55225,true
125,1757964067,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,23500,76500,225000,false
125,1757964067,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,100000,225000,false
125,1757964068,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,100000,225000,false
125,1757964069,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,100000,225000,false
125,1757964071,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,25000,56250,false
125,1757964073,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,25000,56250,false
125,1757964076,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,10000,22500,false
125,1757964077,10funtov,4e484881c47376082094213bf47e0093,dc,DEFEND,webified-72,cr,ci,0,10000,22500,false
125,1757964129,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,0,100000,215000,false
125,1757964131,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-14,cr,ci,0,32000,68800,false
